sla_mode,num_examples,avg_policy_utility,avg_oracle_utility,oracle_utility_ratio,mean_regret,median_regret,max_regret,percent_regret_lt_0.01,percent_regret_lt_0.02,percent_regret_lt_0.05,num_route_errors,mean_error_regret,median_error_regret,percent_error_regret_lt_0.01,percent_error_regret_lt_0.05
quality_first,640,0.9649127721786499,0.9799255132675171,0.9846797119927944,0.015012730844318867,0.01705390214920044,0.06635355949401855,0.321875,0.6375,0.990625,455,0.02111680805683136,0.020181238651275635,0.046153846153846156,0.9868131868131869
balanced,640,0.9005725979804993,0.9471124410629272,0.950861332757706,0.04653981328010559,0.031794190406799316,0.7352862358093262,0.48125,0.4859375,0.6296875,333,0.08944588899612427,0.060977399349212646,0.003003003003003003,0.2882882882882883
cost_sensitive,640,0.8550851941108704,0.9112253189086914,0.9383905126066339,0.05614017695188522,0.0,0.6858589053153992,0.56875,0.56875,0.5875,278,0.12924356758594513,0.09888765215873718,0.007194244604316547,0.050359712230215826
