sla_mode,num_examples,MSE_local,MSE_cloud,MAE_local,MAE_cloud,combined_MSE,combined_MAE
quality_first,640,0.04447752982378006,6.0154190578032285e-05,0.15749791264533997,0.005604044534265995,0.02226885035634041,0.0815509781241417
balanced,640,0.09786149859428406,0.0004232853534631431,0.23077812790870667,0.013710754923522472,0.04914239048957825,0.1222444698214531
cost_sensitive,640,0.055459845811128616,0.0017032772302627563,0.1846199333667755,0.02364134043455124,0.028581567108631134,0.10413061827421188
