model,split,cloud_margin,mode,policy,num_examples,avg_utility,avg_quality,avg_cost,avg_latency,cloud_route_rate,routing_accuracy_vs_oracle,budget_penalty,avg_effective_cloud_cost,precision_cloud_vs_oracle,recall_cloud_vs_oracle,f1_cloud_vs_oracle,tn,fp,fn,tp,mse_local,mse_cloud,mae_local,mae_cloud,combined_mse,combined_mae,combined_rmse,r2_local,r2_cloud,mean_regret,median_regret,max_regret,oracle_utility_ratio,percent_regret_lt_0.01,percent_regret_lt_0.02,percent_regret_lt_0.05,routing_acc_margin_gt_0_01,num_margin_gt_0_01,routing_acc_margin_gt_0_02,num_margin_gt_0_02,routing_acc_margin_gt_0_05,num_margin_gt_0_05
Ridge Utility Router,validation,-0.1,quality_first,Ridge Utility Router,1280,0.9519289135932922,0.983593761920929,0.1214747428894043,1.2795531749725342,0.8203125,0.39140625,0.1214747428894043,0.14754848182201385,0.30095238095238097,0.8753462603878116,0.44790928419560594,185,734,45,316,0.12045905739068985,0.0005270579131320119,0.25171035528182983,0.018860582262277603,0.060493092983961105,0.13528548181056976,0.2459534366175051,-1.7147057056427002,-6.757542133331299,0.027595501393079758,0.01407662034034729,0.7926472425460815,0.9718276262283325,0.42109375,0.69375,0.9546875,0.39902676399026765,1233.0,0.5142503097893433,807.0,0.8449197860962567,374.0
Neural Utility Router,validation,-0.095,quality_first,Neural Utility Router,1280,0.9645266532897949,1.0,0.14648231863975525,1.407460331916809,0.996875,0.28515625,0.14648231863975525,0.14754848182201385,0.2829153605015674,1.0,0.4410507025045816,4,915,0,361,0.04882408306002617,0.000922935432754457,0.15452897548675537,0.02410411275923252,0.02487349696457386,0.08931656181812286,0.1577133379412593,-0.10031592845916748,-12.584295272827148,0.014997775666415691,0.016368478536605835,0.0725487470626831,0.9846886992454529,0.32109375,0.653125,0.98984375,0.29521492295214924,1233.0,0.44981412639405205,807.0,0.9652406417112299,374.0
Oracle,validation,,quality_first,Oracle,1280,0.9795244336128235,1.0,0.04120156913995743,0.9207733273506165,0.28203125,1.0,0.04120156913995743,0.14754848182201385,1.0,1.0,1.0,919,0,0,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
Ridge Utility Router,validation,0.025,balanced,Ridge Utility Router,1280,0.892438530921936,0.9626561999320984,0.08041313290596008,1.0827006101608276,0.53515625,0.515625,0.08041313290596008,0.14754848182201385,0.310948905109489,0.590027700831025,0.4072657743785851,447,472,148,213,0.12038175016641617,0.0005187626229599118,0.25163453817367554,0.015447363257408142,0.06045014038681984,0.1335408091545105,0.24586610255750962,-1.7051162719726562,0.4109998941421509,0.05328242853283882,0.0,0.7769102454185486,0.9436593651771545,0.51640625,0.521875,0.64921875,0.5152701644479248,1277.0,0.5181102362204725,1270.0,0.5332640332640333,962.0
Neural Utility Router,validation,-0.1,balanced,Neural Utility Router,1280,0.9031851887702942,0.9982811808586121,0.13392135500907898,1.3662365674972534,0.94609375,0.31875,0.13392135500907898,0.14754848182201385,0.28901734104046245,0.9695290858725761,0.44529262086513993,58,861,11,350,0.048879846930503845,0.0009422298753634095,0.15553155541419983,0.02249421551823616,0.024911049753427505,0.08901284635066986,0.15783234698067283,-0.09838640689849854,-0.06980228424072266,0.04253586381673813,0.04602816700935364,0.25637179613113403,0.9550228714942932,0.31953125,0.325,0.55703125,0.3179326546593579,1277.0,0.31968503937007875,1270.0,0.4106029106029106,962.0
Oracle,validation,,balanced,Oracle,1280,0.9457210302352905,1.0,0.04120156913995743,0.9207733273506165,0.28203125,1.0,0.04120156913995743,0.14754848182201385,1.0,1.0,1.0,919,0,0,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
Ridge Utility Router,validation,-0.02,cost_sensitive,Ridge Utility Router,1280,0.8398568034172058,0.9606250524520874,0.07792738080024719,1.0712611675262451,0.51484375,0.528125,0.07792738080024719,0.14754848182201385,0.30349013657056145,0.5797101449275363,0.398406374501992,476,459,145,200,0.12039301544427872,0.002520144684240222,0.25164899230003357,0.02536155842244625,0.06145654246211052,0.1385052502155304,0.24790430101575592,-1.6922509670257568,0.39034855365753174,0.0689312145113945,0.0,0.7548962831497192,0.9241505265235901,0.53046875,0.53515625,0.54921875,0.5289968652037618,1276.0,0.5300157977883097,1266.0,0.5316558441558441,1232.0
Neural Utility Router,validation,-0.06,cost_sensitive,Neural Utility Router,1280,0.8507448434829712,0.9707813262939453,0.0745454654097557,1.0811364650726318,0.5390625,0.53671875,0.0745454654097557,0.14754848182201385,0.32028985507246377,0.6405797101449275,0.4270531400966184,466,469,124,221,0.048435769975185394,0.0033367499709129333,0.15736427903175354,0.03811118006706238,0.02588626556098461,0.09773769974708557,0.16089209291007625,-0.0831296443939209,0.1928025484085083,0.05804312974214554,0.0,0.7424576282501221,0.9361313581466675,0.5390625,0.54375,0.56015625,0.5376175548589341,1276.0,0.5387045813586098,1266.0,0.5430194805194806,1232.0
Oracle,validation,,cost_sensitive,Oracle,1280,0.9087879061698914,0.9976562261581421,0.035208478569984436,0.9128053784370422,0.26953125,1.0,0.035208478569984436,0.14754848182201385,1.0,1.0,1.0,935,0,0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
