model,split,positive_class,threshold,threshold_source,accuracy,balanced_accuracy,error,precision,recall,f1,tpr,fpr,tn,fp,fn,tp,pr_auc,roc_auc,dev_f1_selected
MLP Classifier,internal_train,local_failure = 1,0.15999999999999998,internal_dev_f1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,328,0,0,56,1.0,1.0,0.2692307692307692
MLP Classifier,internal_dev,local_failure = 1,0.15999999999999998,internal_dev_f1,0.703125,0.5649444712699179,0.296875,0.21212121212121213,0.3684210526315789,0.2692307692307692,0.3684210526315789,0.23853211009174313,83,26,12,7,0.2142665584007291,0.533075808788025,0.2692307692307692
MLP Classifier,validation,local_failure = 1,0.15999999999999998,internal_dev_f1,0.765625,0.6648967551622419,0.234375,0.25806451612903225,0.5333333333333333,0.34782608695652173,0.5333333333333333,0.20353982300884957,90,23,7,8,0.34004454158430103,0.7008849557522124,0.2692307692307692
